time_per_page,scroll_speed,number_of_re_reads,backtracking_count,quiz_hesitation_time,quiz_attempts,quiz_accuracy,session_duration,cognitive_load
80.9,277.4,0,0,1.5,1,97.8,482,LOW
154.6,277.4,2,1,16.7,2,74.8,669,MEDIUM
156.5,291.4,4,1,16,1,54.7,896,MEDIUM
300.9,135.2,6,2,33.7,3,54.6,1219,HIGH
47,374,0,1,8.8,1,95.6,250,LOW
57.4,387.3,2,0,7.8,1,83.5,409,LOW
97.9,283.1,1,0,17.4,2,55.6,833,MEDIUM
339,79,6,5,25,2,50.8,885,HIGH
129,155.4,2,3,21.6,2,69.5,709,MEDIUM
62.8,433.3,1,0,10,1,98.1,351,LOW
81.2,349.7,1,0,15,1,88,228,LOW
223.7,88.5,3,4,57,5,21.9,1139,HIGH
122.6,172.9,2,2,26.4,2,80.1,638,MEDIUM
129,177.1,2,1,7,2,59.3,1253,MEDIUM
184.2,142.3,9,2,47.2,3,39.8,1892,HIGH
289.4,99.9,6,3,37,2,49.7,1264,HIGH
325.7,95.1,5,3,39.9,2,15.6,1815,HIGH
47.1,382.7,0,0,1.5,1,98,307,MEDIUM
53.8,292.7,1,0,9,1,100,152,LOW
211.6,96.8,5,4,18,4,48.8,955,HIGH
303,85.1,3,4,33.7,3,14.5,1039,MEDIUM
94.6,444,0,0,11.5,1,87.3,240,LOW
236.3,102,3,4,62.2,3,54.6,1152,HIGH
259.9,37.2,4,4,51,2,24.7,1574,HIGH
92.7,207.5,2,3,19.4,1,77,841,MEDIUM
159.8,241.1,2,2,22.3,2,49.5,551,MEDIUM
35.2,333.3,0,0,9.6,1,100,361,LOW
332.8,116.1,7,2,45.2,2,32.2,1077,HIGH
59.5,502.8,0,0,13.1,1,98.2,426,LOW
420.8,65.9,5,4,49.9,2,58.7,1270,HIGH
91.1,412.6,0,0,7.9,1,80.5,505,LOW
83.5,330.6,0,1,11.2,1,85.6,548,LOW
177.1,193.8,3,0,19.7,1,60.6,850,MEDIUM
38.9,191.9,2,1,7.6,1,82.3,429,LOW
320.5,92.2,6,3,44,2,50.4,1321,HIGH
102.2,245.6,1,0,7,2,67.8,970,MEDIUM
44.8,406.8,1,0,9.6,1,100,416,LOW
228.3,34,4,5,46.4,2,42.6,911,HIGH
95,175.5,2,1,25.9,1,63.5,690,MEDIUM
99.7,166,2,2,11,1,88,867,MEDIUM
55.8,352.2,0,0,9.4,1,79.5,498,LOW
58.2,292,0,0,8.1,1,85.9,766,LOW
60.9,435,0,0,5.2,1,77.2,127,LOW
63.2,370.8,0,0,5.6,1,83.9,412,LOW
62.8,491,0,1,8.9,1,88.5,480,LOW
155.3,246.2,1,2,17.4,1,73.6,597,MEDIUM
142.4,202.3,3,2,7,1,47.8,749,MEDIUM
89.8,229,2,2,19.5,2,72.1,693,MEDIUM
55.1,422.2,1,2,3.9,1,100,403,LOW
166.5,175.6,2,3,7,2,58.4,950,MEDIUM
173.3,130.9,7,4,33.3,4,44.6,762,HIGH
140,91.8,3,4,34.8,3,30.2,1320,HIGH
47.5,288.8,2,0,7.1,1,82.8,470,LOW
157,238,1,3,33.8,2,66.8,507,LOW
200,100.6,5,3,34,3,33.2,1522,HIGH
120.1,304,2,2,9.8,2,70.6,1030,MEDIUM
56,440.3,0,1,10.2,1,87.1,566,LOW
100.4,302.3,0,0,6.3,1,100,584,LOW
123.5,145,1,1,25.1,1,70.5,627,MEDIUM
127.9,244.6,4,0,7,3,85.8,716,MEDIUM
174.4,256.8,3,2,17.6,2,68.5,429,MEDIUM
316,145.7,3,4,47.2,3,37.2,1104,HIGH
273.6,104.6,4,6,50.7,2,23.1,1625,HIGH
195.1,97.9,6,4,43.2,2,57.6,1539,HIGH
79.9,350.7,0,1,4.4,1,75,121,LOW
148.4,247.2,3,1,18.4,1,72,1036,MEDIUM
31.8,341.8,0,0,6.1,1,85,272,LOW
162.9,197.1,4,1,12,1,72.5,801,MEDIUM
216.1,25,6,3,38.4,2,55.4,2008,HIGH
338.4,142.2,4,4,49.7,2,39.8,1283,HIGH
185.1,233.6,3,2,19.9,1,73.1,1074,MEDIUM
80.4,409.1,1,0,11.5,1,86,351,LOW
55.2,314.9,0,0,7.7,1,82.2,165,LOW
75.6,291,0,2,10,1,99.4,365,LOW
110.9,252.1,3,0,24.4,3,65.6,917,MEDIUM
126.4,190.9,1,1,8.5,1,45,691,MEDIUM
172,202.6,2,2,20.6,2,70.5,418,MEDIUM
123.1,243.7,2,2,11.4,1,75.3,919,MEDIUM
209.6,232.6,4,3,20.9,1,83.9,1053,MEDIUM
33.2,314.2,1,1,10.7,1,100,590,LOW
62.6,294,1,0,12.7,1,87.7,275,LOW
235.8,54.8,5,2,24.5,2,50.6,1071,HIGH
161.4,200.9,3,1,23.6,3,61.8,556,MEDIUM
39.6,313.3,0,1,9.9,1,94.5,446,LOW
65.3,435.2,0,0,2.8,1,90.8,414,LOW
60.2,252.1,0,0,2.6,1,91.2,103,LOW
217.3,102,3,2,18,2,35.4,1026,HIGH
284.9,98.4,4,2,18.4,3,39.7,581,HIGH
42.3,501.2,2,1,4.7,1,96.3,511,LOW
54.2,262.1,1,0,7.9,1,97.2,195,LOW
60.9,334.4,1,0,4.2,1,87,296,LOW
49,350.1,0,0,1.7,1,100,459,LOW
297.8,100.1,7,3,33.8,2,50.7,1712,HIGH
97.7,524.7,1,0,9.1,1,92.9,326,LOW
250.8,93.7,4,2,23.4,2,56.7,1203,HIGH
192.6,237.2,1,1,23.7,1,72.6,649,MEDIUM
155.1,198.2,1,2,27.2,2,70.1,771,LOW
217.6,139,5,2,49.6,2,45.5,1393,HIGH
299.8,97.8,3,2,37.4,2,51.1,938,HIGH
118.2,302.8,2,0,6.9,1,100,628,LOW
224.9,77.8,5,3,38.6,4,28.3,970,HIGH
138.8,179.7,3,1,15.3,3,59,664,MEDIUM
108.6,187.3,5,2,19.3,1,75,888,MEDIUM
263.7,83,4,4,46.3,3,29.9,658,HIGH
41.7,474.3,1,0,7.5,1,86,288,LOW
187.4,168.3,2,2,20.4,1,78,943,MEDIUM
32.4,269.1,0,0,8.7,1,84.3,202,LOW
124.7,207.4,4,1,15.9,1,64.6,630,MEDIUM
161.9,224,2,2,22.3,2,78.3,859,MEDIUM
62.7,369,0,1,4.7,1,88.3,314,LOW
69.5,435.5,1,0,7.4,1,96.7,461,LOW
129.2,276,2,2,23.2,1,71.3,636,MEDIUM
90.1,196.5,3,1,12.8,1,81.6,861,MEDIUM
113.7,166,1,0,24.1,2,62.1,965,MEDIUM
201.1,228.6,1,1,18.3,1,90,689,MEDIUM
143.4,267.7,3,1,22.2,1,69.3,430,MEDIUM
182.9,81.8,3,5,31.5,3,49.5,1084,HIGH
216.9,103.5,3,4,37.2,4,52.8,676,HIGH
267.6,71,8,3,20.1,2,46.2,1376,HIGH
206.2,135.5,6,4,50,3,23.3,940,HIGH
53.3,370.7,1,0,7,1,86.9,471,LOW
198,71.9,4,3,56.1,3,40.6,1644,HIGH
299.2,141.7,3,3,24.2,3,53.6,1472,HIGH
275.8,81.3,3,3,42.6,2,52.9,661,HIGH
89.2,395.4,2,0,6.8,1,98.6,306,LOW
249.3,34.6,3,3,25.7,2,49.4,1279,HIGH
76.6,366.5,0,0,13.5,1,94.7,341,LOW
66.2,360.2,1,1,5.7,1,90.5,355,LOW
152.5,215.5,2,2,22.4,1,82.9,708,MEDIUM
168.5,234.3,4,0,13.9,1,69.6,1123,MEDIUM
